        A,         B,    NUM_LANES,    CAPACITY,    DISTANCE,    POSTSPD,    FTC2
        70,     16345,         1,     10000,      1.08,     12.50,         0
        70,     16443,         1,     10000,      1.06,     12.50,         0
        70,     19318,         1,     10000,      1.13,     12.50,         0
        71,     16677,         1,     10000,      0.39,     12.50,         0
        72,     16531,         1,     10000,      0.57,     12.50,         0
        72,     16647,         1,     10000,      0.55,     12.50,         0
        72,     16743,         1,     10000,      0.72,     12.50,         0
        73,     16743,         1,     10000,      1.21,     12.50,         0
        73,     16863,         1,     10000,      0.62,     12.50,         0
        74,     16723,         1,     10000,      1.40,     12.50,         0
        74,     16863,         1,     10000,      1.04,     12.50,         0
        75,     16655,         1,     10000,      0.34,     12.50,         0
        76,     16535,         1,     10000,      0.67,     12.50,         0
        76,     16623,         1,     10000,      0.73,     12.50,         0
        76,     16667,         1,     10000,      0.66,     12.50,         0
        76,     16731,         1,     10000,      0.79,     12.50,         0
        77,     16677,         1,     10000,      1.23,     12.50,         0
        77,     16715,         1,     10000,      0.62,     12.50,         0
        77,     19318,         1,     10000,      0.48,     12.50,         0
        78,     14641,         1,     10000,      2.46,     12.50,         0
        78,     15005,         1,     10000,      2.76,     12.50,         0
        79,     16141,         1,     10000,      0.73,     12.50,         0
        80,     15729,         1,     10000,      2.26,     12.50,         0
        81,     12051,         1,     10000,      0.59,     12.50,         0
        81,     15689,         1,     10000,      0.51,     12.50,         0
        81,     16085,         1,     10000,      4.67,     12.50,         0
        82,     16093,         1,     10000,      2.26,     12.50,         0
        82,     16283,         1,     10000,      1.28,     12.50,         0
        82,     16537,         1,     10000,      3.64,     12.50,         0
        83,     13990,         1,     10000,      0.68,     12.50,         0
        83,     15729,         1,     10000,      1.03,     12.50,         0
        83,     16093,         1,     10000,      4.44,     12.50,         0
        84,     16537,         1,     10000,      0.62,     12.50,         0
        84,     16665,         1,     10000,      0.96,     12.50,         0
        84,     16741,         1,     10000,      0.66,     12.50,         0
        85,     16815,         1,     10000,      0.57,     12.50,         0
        85,     18097,         1,     10000,      0.72,     12.50,         0
        86,     16815,         1,     10000,      0.45,     12.50,         0
        86,     16845,         1,     10000,      0.48,     12.50,         0
        86,     18411,         1,     10000,      0.75,     12.50,         0
        87,     13059,         1,     10000,      0.54,     12.50,         0
        87,     13167,         1,     10000,      1.88,     12.50,         0
        87,     13323,         1,     10000,      1.71,     12.50,         0
        88,     13315,         1,     10000,      7.91,     12.50,         0
        89,     13323,         1,     10000,      0.32,     12.50,         0
        90,     12243,         1,     10000,      5.21,     12.50,         0
        90,     12731,         1,     10000,      4.88,     12.50,         0
        90,     13059,         1,     10000,      5.84,     12.50,         0
        91,     14549,         1,     10000,      0.42,     12.50,         0
        91,     14597,         1,     10000,      1.16,     12.50,         0
        91,     14657,         1,     10000,      0.41,     12.50,         0
        92,     13621,         1,     10000,      0.20,     12.50,         0
        92,     18709,         1,     10000,      0.27,     12.50,         0
        93,     13984,         1,     10000,      0.61,     12.50,         0
        93,     14537,         1,     10000,      1.27,     12.50,         0
        93,     17963,         1,     10000,      2.11,     12.50,         0
        94,     14253,         1,     10000,      0.35,     12.50,         0
        95,     14253,         1,     10000,      1.93,     12.50,         0
        96,     14641,         1,     10000,      3.04,     12.50,         0
        97,     12259,         1,     10000,      0.64,     12.50,         0
        98,     12427,         1,     10000,      0.70,     12.50,         0
        98,     19246,         1,     10000,      2.03,     12.50,         0
        99,     12435,         1,     10000,      3.03,     12.50,         0
        99,     12611,         1,     10000,      1.15,     12.50,         0
        99,     18999,         1,     10000,      0.58,     12.50,         0
       100,     12119,         1,     10000,      0.10,     12.50,         0
       101,     12227,         1,     10000,      0.29,     12.50,         0
       101,     12267,         1,     10000,      0.33,     12.50,         0
       102,     12359,         1,     10000,      2.95,     12.50,         0
       102,     12587,         1,     10000,      1.83,     12.50,         0
       102,     12627,         1,     10000,      0.31,     12.50,         0
       102,     12711,         1,     10000,      1.12,     12.50,         0
       103,     12711,         1,     10000,      1.73,     12.50,         0
       103,     12911,         1,     10000,      0.86,     12.50,         0
       103,     13661,         1,     10000,      1.29,     12.50,         0
       104,     12135,         1,     10000,      0.35,     12.50,         0
       104,     17409,         1,     10000,      0.07,     12.50,         0
       105,     12371,         1,     10000,      0.52,     12.50,         0
       106,     12723,         1,     10000,      0.27,     12.50,         0
       107,     13990,         1,     10000,      3.32,     12.50,         0
       107,     15221,         1,     10000,      2.84,     12.50,         0
       107,     15499,         1,     10000,      0.99,     12.50,         0
       108,     14657,         1,     10000,      3.29,     12.50,         0
       108,     15005,         1,     10000,      1.26,     12.50,         0
       108,     15221,         1,     10000,      1.03,     12.50,         0
       109,     13547,         1,     10000,      1.40,     12.50,         0
       109,     13815,         1,     10000,      1.06,     12.50,         0
       109,     14285,         1,     10000,      4.06,     12.50,         0
       110,     14283,         1,     10000,      0.54,     12.50,         0
       110,     14463,         1,     10000,      1.48,     12.50,         0
       110,     14517,         1,     10000,      0.49,     12.50,         0
       110,     17960,         1,     10000,      0.71,     12.50,         0
       111,     14519,         1,     10000,      0.52,     12.50,         0
       111,     14593,         1,     10000,      1.06,     12.50,         0
       111,     14617,         1,     10000,      1.03,     12.50,         0
       111,     14671,         1,     10000,      0.56,     12.50,         0
       112,     13476,         1,     10000,      3.91,     12.50,         0
       113,     12177,         1,     10000,     10.31,     12.50,         0
       114,     13468,         1,     10000,     12.12,     12.50,         0
       114,     13516,         1,     10000,     11.22,     12.50,         0
       115,     13518,         1,     10000,      6.33,     12.50,         0
       116,     13114,         1,     10000,      8.59,     12.50,         0
       116,     13512,         1,     10000,      8.41,     12.50,         0
       116,     13616,         1,     10000,      6.23,     12.50,         0
       117,     13108,         1,     10000,      9.41,     12.50,         0
       118,     13426,         1,     10000,      2.24,     12.50,         0
       118,     13498,         1,     10000,      2.18,     12.50,         0
       118,     13616,         1,     10000,      1.81,     12.50,         0
       119,     13118,         1,     10000,      4.46,     12.50,         0
       119,     13390,         1,     10000,      4.91,     12.50,         0
       120,     16715,         1,     10000,      1.10,     12.50,         0
       120,     16843,         1,     10000,      1.23,     12.50,         0
       121,     13589,         1,     10000,      0.39,     12.50,         0
       122,     12887,         1,     10000,      0.33,     12.50,         0
       122,     13766,         1,     10000,      0.48,     12.50,         0
       122,     18999,         1,     10000,      2.32,     12.50,         0
       123,     13819,         1,     10000,      3.10,     12.50,         0
       123,     14163,         1,     10000,      0.72,     12.50,         0
       123,     14191,         1,     10000,      0.31,     12.50,         0
       124,     12242,         1,     10000,      0.84,     12.50,         0
       124,     14593,         1,     10000,      1.32,     12.50,         0
       124,     18713,         1,     10000,      0.19,     12.50,         0
       125,     14683,         1,     10000,      0.45,     12.50,         0
       126,     14693,         1,     10000,      1.26,     12.50,         0
       126,     14863,         1,     10000,      0.66,     12.50,         0
       126,     14877,         1,     10000,      0.52,     12.50,         0
       127,     14919,         1,     10000,      1.33,     12.50,         0
       127,     15003,         1,     10000,      0.94,     12.50,         0
       127,     15089,         1,     10000,      0.27,     12.50,         0
       128,     15273,         1,     10000,      1.23,     12.50,         0
       128,     15403,         1,     10000,      0.27,     12.50,         0
       128,     18147,         1,     10000,      0.84,     12.50,         0
       129,     15403,         1,     10000,      0.88,     12.50,         0
       129,     15459,         1,     10000,      0.58,     12.50,         0
       129,     15469,         1,     10000,      0.43,     12.50,         0
       130,     15573,         1,     10000,      0.77,     12.50,         0
       130,     15619,         1,     10000,      0.60,     12.50,         0
       130,     15671,         1,     10000,      0.60,     12.50,         0
       131,     15415,         1,     10000,      0.53,     12.50,         0
       131,     15447,         1,     10000,      0.53,     12.50,         0
       131,     15479,         1,     10000,      0.52,     12.50,         0
       132,     15561,         1,     10000,      0.74,     12.50,         0
       132,     15609,         1,     10000,      0.53,     12.50,         0
       132,     15653,         1,     10000,      0.73,     12.50,         0
       133,     15705,         1,     10000,      0.23,     12.50,         0
       134,     15755,         1,     10000,      0.27,     12.50,         0
       135,     15743,         1,     10000,      3.25,     12.50,         0
       135,     15947,         1,     10000,      0.23,     12.50,         0
       135,     15987,         1,     10000,      0.55,     12.50,         0
       136,     15483,         1,     10000,      0.23,     12.50,         0
       137,     15735,         1,     10000,      0.55,     12.50,         0
       137,     15759,         1,     10000,      0.59,     12.50,         0
       151,     21225,         1,     10000,      0.53,     12.50,         0
       152,     21203,         1,     10000,      0.35,     12.50,         0
       153,     21037,         1,     10000,      0.85,     12.50,         0
       153,     21141,         1,     10000,      0.29,     12.50,         0
       154,     21039,         1,     10000,      0.26,     12.50,         0
       155,     21196,         1,     10000,      0.49,     12.50,         0
       155,     21203,         1,     10000,      0.45,     12.50,         0
       155,     21223,         1,     10000,      1.09,     12.50,         0
       156,     21043,         1,     10000,      0.79,     12.50,         0
       156,     21137,         1,     10000,      0.52,     12.50,         0
       156,     21141,         1,     10000,      0.48,     12.50,         0
       157,     21410,         1,     10000,      0.25,     12.50,         0
       158,     21247,         1,     10000,      0.52,     12.50,         0
       159,     20310,         1,     10000,      0.52,     12.50,         0
       159,     21267,         1,     10000,      0.49,     12.50,         0
       160,     21251,         1,     10000,      0.39,     12.50,         0
       160,     21279,         1,     10000,      0.64,     12.50,         0
       161,     21051,         1,     10000,      0.90,     12.50,         0
       161,     21107,         1,     10000,      1.81,     12.50,         0
       161,     21135,         1,     10000,      0.34,     12.50,         0
       162,     21185,         1,     10000,      1.05,     12.50,         0
