SEGMENT: 1,SCENARIO:  HEFT-W of 57th,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GU,GU,XL,XL,CORRIDOR,XL,XL,GU,GU,XL,XL,GU,GU,XL,XL,XL,XL
DIRECTION,NB,SB,NB,SB,TOTAL,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB
 18:   ,   6113,   5873,   2443,   1985,  16414,   28.5,   25.3,   1.03,   0.99,   0.60,   0.48,   24.5,   30.6,   69.9,   69.9,   0.20,   0.19
 19:   ,   6001,   6065,    656,    906,  13628,    9.9,   13.0,   1.01,   1.02,   0.16,   0.22,   27.0,   25.6,   70.0,   70.0,   0.19,   0.19
 20:   ,   4398,   4452,    187,    190,   9228,    4.1,    4.1,   0.74,   0.75,   0.05,   0.05,   64.9,   64.8,   70.0,   70.0,   0.19,   0.19
 21:   ,   3115,   2777,    122,     99,   6112,    3.8,    3.4,   0.52,   0.47,   0.03,   0.02,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 22:   ,   2447,   2178,     95,     77,   4798,    3.7,    3.4,   0.41,   0.37,   0.02,   0.02,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 23:   ,   1983,   1859,     77,     66,   3985,    3.7,    3.4,   0.33,   0.31,   0.02,   0.02,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 24:   ,   1141,   1272,     44,     45,   2502,    3.7,    3.4,   0.19,   0.21,   0.01,   0.01,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
TOTAL:,  82500,  83696,  11760,  13693, 191649,   12.5,   14.1,

TOTAL GU CORRIDOR:,  166196
TOTAL XL CORRIDOR:,   25453
TOTAL CORRIDOR:,  191649,

PULL LINK
XL NB A NODE:,   93109
XL NB B NODE:,   92067
XL SB A NODE:,   92009
XL SB B NODE:,   93110
GU NB A NODE:,   26379
GU NB B NODE:,   26375
GU SB A NODE:,   26377
GU SB B NODE:,   26378

SEGMENT: 3,SCENARIO:  S of 41st St,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GU,GU,XL,XL,CORRIDOR,XL,XL,GU,GU,XL,XL,GU,GU,XL,XL,XL,XL
DIRECTION,NB,SB,NB,SB,TOTAL,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB
  1:   ,    720,    760,     11,     11,   1501,    1.5,    1.4,   0.09,   0.09,   0.00,   0.00,   68.6,   69.0,   75.0,   75.0,   0.19,   0.19
  2:   ,    366,    444,      6,      6,    822,    1.5,    1.4,   0.04,   0.05,   0.00,   0.00,   68.6,   69.0,   75.0,   75.0,   0.19,   0.19
  3:   ,    277,    321,      4,      4,    607,    1.5,    1.4,   0.03,   0.04,   0.00,   0.00,   68.6,   69.0,   75.0,   75.0,   0.19,   0.19
  4:   ,    383,    411,      6,      6,    807,    1.5,    1.4,   0.05,   0.05,   0.00,   0.00,   68.6,   69.0,   75.0,   75.0,   0.19,   0.19
  5:   ,    792,    616,     12,      9,   1428,    1.5,    1.4,   0.10,   0.07,   0.00,   0.00,   68.6,   69.0,   75.0,   75.0,   0.19,   0.19
  6:   ,   2128,   1601,     32,     22,   3784,    1.5,    1.4,   0.26,   0.19,   0.01,   0.01,   68.6,   69.0,   75.0,   75.0,   0.19,   0.19
  7:   ,   5589,   5517,     99,    109,  11315,    1.7,    1.9,   0.68,   0.67,   0.02,   0.03,   68.5,   68.9,   75.0,   75.0,   0.19,   0.19
  8:   ,   8599,   5409,    636,    656,  15300,    6.9,   10.8,   1.04,   0.66,   0.15,   0.16,   23.1,   68.9,   75.0,   75.0,   0.19,   0.19
