  A,  B,  Dir1, Dir2, Dir3, Dir4, Comments: 1=I595 EB & 2=I595 WB
  21307.00,  26212.00,         0,      1.00,         0,         0,         0
  21309.00,  20583.00,      1.00,         0,         0,         0,         0
  21312.00, 100312.00,         0,      1.00,         0,         0,         0
  21313.00,  20811.00,         0,      1.00,         0,         0,         0
  21314.00,  20447.00,      1.00,         0,         0,         0,         0
  21315.00, 100311.00,      1.00,         0,         0,         0,         0
  21317.00,  26250.00,         0,      1.00,         0,         0,         0
  21320.00,  26249.00,      1.00,         0,         0,         0,         0
  21321.00,  21208.00,         0,      1.00,         0,         0,         0
  21326.00,  21328.00,         0,      1.00,         0,         0,         0
  21328.00,  33369.00,         0,      1.00,         0,         0,         0
  21330.00,  26257.00,      1.00,         0,         0,         0,         0
  21333.00,  21334.00,         0,      1.00,         0,         0,         0
  21334.00,  26704.00,         0,      1.00,         0,         0,         0
  21338.00,  21070.00,      1.00,         0,         0,         0,         0
  21354.00,  21668.00,         0,         0,      1.00,         0,         0
  21411.00,  21430.00,         0,         0,         0,      1.00,         0
  21414.00,  12565.00,         0,         0,         0,      1.00,         0
  21418.00,  21414.00,         0,         0,      1.00,         0,         0
  21422.00,  21418.00,         0,         0,      1.00,         0,         0
  21430.00,  21434.00,         0,         0,         0,      1.00,         0
  21432.00,  21422.00,         0,         0,      1.00,         0,         0
  21434.00,  21438.00,         0,         0,         0,      1.00,         0
  21438.00,  21441.00,         0,         0,      1.00,         0,         0
  21441.00, 100330.00,         0,         0,         0,      1.00,         0
  21486.00,  21432.00,         0,         0,      1.00,         0,         0
  21493.00,  21495.00,         0,         0,         0,      1.00,         0
  21495.00,  21540.00,         0,         0,         0,      1.00,         0
  21540.00, 100342.00,         0,         0,         0,      1.00,         0
  21542.00, 100329.00,         0,         0,      1.00,         0,         0
  21560.00,  21568.00,         0,         0,         0,      1.00,         0
  21562.00, 100341.00,         0,         0,      1.00,         0,         0
  21568.00,  21580.00,         0,         0,         0,      1.00,         0
  21570.00,  21562.00,         0,         0,      1.00,         0,         0
  21580.00,  21854.00,         0,         0,      1.00,         0,         0
  21582.00,  21570.00,         0,         0,         0,      1.00,         0
